country_raw,country_normalized,country_major,country_middle
"アイスランド","アイスランド","海外","ヨーロッパ"
"アイルランド","アイルランド","海外","ヨーロッパ"
"アフガニスタン","アフガニスタン","海外","アジア"
"アメリカ合衆国","アメリカ合衆国","海外","北米"
"アメリカ領ヴァージン諸島","アメリカ領ヴァージン諸島","海外","中南米"
"アメリカ領サモア","アメリカ領サモア","海外","オセアニア"
"アラブ首長国連邦","アラブ首長国連邦","海外","中東"
"アルジェリア","アルジェリア","海外","アフリカ"
"アルゼンチン","アルゼンチン","海外","中南米"
"イギリス","イギリス","海外","ヨーロッパ"
"イスラエル","イスラエル","海外","中東"
"イタリア","イタリア","海外","ヨーロッパ"
"イラン・イスラム共和国","イラン・イスラム共和国","海外","中東"
"インド","インド","海外","アジア"
"インドネシア","インドネシア","海外","アジア"
"ウガンダ","ウガンダ","海外","アフリカ"
"ウクライナ","ウクライナ","海外","ヨーロッパ"
"ウズベキスタン","ウズベキスタン","海外","アジア"
"ウルグアイ","ウルグアイ","海外","中南米"
"エストニア","エストニア","海外","ヨーロッパ"
"エスワティニ","エスワティニ","海外","アフリカ"
"エルサルバドル","エルサルバドル","海外","中南米"
"オーストラリア","オーストラリア","海外","オセアニア"
"オーストリア","オーストリア","海外","ヨーロッパ"
"オランダ","オランダ","海外","ヨーロッパ"
"ガーナ","ガーナ","不明","不明"
"カザフスタン","カザフスタン","海外","アジア"
"カナダ","カナダ","海外","北米"
"キューバ","キューバ","海外","中南米"
"グアテマラ","グアテマラ","海外","中南米"
"グアム","グアム","海外","オセアニア"
"クロアチア","クロアチア","海外","ヨーロッパ"
"コスタリカ","コスタリカ","海外","中南米"
"コロンビア","コロンビア","海外","中南米"
"サウジアラビア","サウジアラビア","海外","中東"
"サウスジョージア・サウスサンドウィッチ諸島","サウスジョージア・サウスサンドウィッチ諸島","海外","その他"
"ジャマイカ","ジャマイカ","海外","中南米"
"シンガポール","シンガポール","海外","アジア"
"スイス","スイス","海外","ヨーロッパ"
"スウェーデン","スウェーデン","海外","ヨーロッパ"
"スペイン","スペイン","海外","ヨーロッパ"
"スリランカ","スリランカ","海外","アジア"
"スロバキア","スロバキア","海外","ヨーロッパ"
"タイ","タイ","海外","アジア"
"タンザニア","タンザニア","海外","アフリカ"
"チェコ","チェコ","海外","ヨーロッパ"
"チュニジア","チュニジア","海外","アフリカ"
"チリ","チリ","海外","中南米"
"デンマーク","デンマーク","海外","ヨーロッパ"
"ドイツ","ドイツ","海外","ヨーロッパ"
"トケラウ","トケラウ","海外","オセアニア"
"ドミニカ共和国","ドミニカ共和国","海外","中南米"
"トリニダード・トバゴ","トリニダード・トバゴ","海外","中南米"
"トルコ","トルコ","海外","中東"
"ナイジェリア","ナイジェリア","海外","アフリカ"
"ニュージーランド","ニュージーランド","海外","オセアニア"
"ネパール","ネパール","海外","アジア"
"ノルウェー","ノルウェー","海外","ヨーロッパ"
"ハード島とマクドナルド諸島","ハード島とマクドナルド諸島","海外","その他"
"ハイチ","ハイチ","海外","中南米"
"パキスタン","パキスタン","海外","アジア"
"パラオ","パラオ","海外","オセアニア"
"バルバドス","バルバドス","海外","中南米"
"ハンガリー","ハンガリー","海外","ヨーロッパ"
"バングラデシュ","バングラデシュ","海外","アジア"
"フィリピン","フィリピン","海外","アジア"
"フィンランド","フィンランド","海外","ヨーロッパ"
"プエルトリコ","プエルトリコ","海外","中南米"
"ブラジル","ブラジル","海外","中南米"
"フランス","フランス","海外","ヨーロッパ"
"フランス領ポリネシア","フランス領ポリネシア","海外","オセアニア"
"フランス領南方・南極地域","フランス領南方・南極地域","海外","その他"
"ブルガリア","ブルガリア","海外","ヨーロッパ"
"ベトナム","ベトナム","海外","アジア"
"ベラルーシ","ベラルーシ","海外","ヨーロッパ"
"ペルー","ペルー","海外","中南米"
"ベルギー","ベルギー","海外","ヨーロッパ"
"ポーランド","ポーランド","海外","ヨーロッパ"
"ポルトガル","ポルトガル","海外","ヨーロッパ"
"ホンジュラス","ホンジュラス","海外","中南米"
"マカオ","マカオ","海外","アジア"
"マレーシア","マレーシア","海外","アジア"
"ミクロネシア連邦","ミクロネシア連邦","海外","オセアニア"
"ミャンマー","ミャンマー","海外","アジア"
"メキシコ","メキシコ","海外","中南米"
"モンゴル","モンゴル","海外","アジア"
"ラオス人民民主共和国","ラオス人民民主共和国","海外","アジア"
"ラトビア","ラトビア","海外","ヨーロッパ"
"リトアニア","リトアニア","海外","ヨーロッパ"
"リビア","リビア","海外","アフリカ"
"リヒテンシュタイン","リヒテンシュタイン","海外","ヨーロッパ"
"ルーマニア","ルーマニア","海外","ヨーロッパ"
"ルクセンブルク","ルクセンブルク","海外","ヨーロッパ"
"ルワンダ","ルワンダ","海外","アフリカ"
"ロシア連邦","ロシア連邦","海外","ヨーロッパ"
"香港","香港","海外","アジア"
"合衆国領有小離島","合衆国領有小離島","海外","その他"
"台湾（中華民国）","台湾（中華民国）","海外","アジア"
"大韓民国","大韓民国","海外","アジア"
"中華人民共和国","中華人民共和国","海外","アジア"
"朝鮮民主主義人民共和国","朝鮮民主主義人民共和国","海外","アジア"
"南アフリカ","南アフリカ","海外","アフリカ"
"日本","日本","日本","日本"
